"dataset_id","study_family","component_of_dataset_id","count_as_independent_cohort","overlap_notes"
"DS027","PROTECT","Unclear","Unclear","PROTECT pediatric UC plasma metabolomics; subject overlap with other PROTECT rows not resolved in current review artifacts."
"DS038","PROTECT","Unclear","Unclear","PROTECT pediatric UC rectal transcriptome; possible family overlap with other PROTECT rows requires cohort/sample manifest review."
"DS039","PROTECT","Unclear","Unclear","PROTECT pediatric UC baseline/follow-up rectal expression; relationship to DS038 not safe to classify from current artifacts alone."
"DS042","PROTECT-like","Unclear","Unclear","Marked PROTECT-like in discovery review, not confirmed as the same PROTECT cohort; leave counting unclear."
"DS057","PROTECT","Unclear","Unclear","PROTECT pediatric UC stool metabolomics; subject overlap with DS027/DS038/DS039 not resolved."
"DS040","RISK","Unclear","Unclear","RISK pediatric IBD rectal transcriptome; possible family overlap with DS041 needs manifest/source review."
"DS041","RISK","Unclear","Unclear","RISK pediatric Crohn ileal transcriptome; possible family overlap with DS040 needs manifest/source review."
"DS026","IBD200","Unclear","Unclear","IBD200 fecal proteomics/metabolomics; likely overlaps DS059, but exact row relationship should be reviewed before one is excluded from cohort counts."
"DS059","IBD200","Unclear","Unclear","IBD200 fecal metabolomics layer; likely overlaps DS026, but current artifacts do not define whether DS059 is a split layer or independent row."
"DS050","Unclear","Unclear","Unclear","Discovery PXD pool and PASS verification evidence are mixed; review artifacts explicitly recommend split/overlap clarification."
"DS058","Bacteroides vulgatus UC multi-omics","Blank","TRUE","Single multi-omics study row with MassIVE/ENA accessions; count once as one study row unless later split by cohort/accession."
"DS070","scIBD/Gut Cell Atlas source component","Blank","TRUE","Direct IBD source cohort reused by integrated atlases; count source dataset once, not per integrated-resource membership."
"DS071","scIBD/Gut Cell Atlas source component","Blank","TRUE","Direct IBD source cohort reused by integrated atlases; count source dataset once."
"DS072","scIBD source component","Blank","TRUE","Direct IBD source cohort listed in scIBD coverage; count source dataset once."
"DS073","scIBD source component","Blank","TRUE","Direct IBD source cohort listed in scIBD coverage; count source dataset once."
"DS074","scIBD/Gut Cell Atlas source component","Blank","TRUE","Direct IBD source cohort reused by integrated atlases; count source dataset once."
"DS075","scIBD source component","Blank","TRUE","Direct IBD/cross-disease single-cell source cohort listed in scIBD coverage; count once, with UC subset caveat retained elsewhere."
"DS076","scIBD/Gut Cell Atlas source component","Blank","TRUE","Direct pediatric IBD source cohort reused by integrated atlases; count source dataset once."
"DS077","Gut Cell Atlas/IBDTransDB source component","Blank","TRUE","Direct IBD source cohort present in Gut Cell Atlas and IBDTransDB coverage; count source dataset once."
"DS078","Gut Cell Atlas source component","Blank","TRUE","Direct IBD source cohort listed in Gut Cell Atlas coverage; count source dataset once."
