issue_type,row_ids,problem,required_change_before_implementation
schema_all_rows,"DS109; DS110; DS111; DS112; DS113; DS114","Plan uses proposed_id, not dataset_id, and omits most primary-table fields.","Create full 55-column rows matching ibd_omics_datasets.csv header; rename proposed_id to dataset_id in any implementation-ready patch."
missing_required_fields_all_rows,"DS109; DS110; DS111; DS112; DS113; DS114","Missing dataset_name, study_name, repository, repository_type, publication fields, disease, population, sample/tissue, omics_layer, platform, study_design, sample sizes, access fields, curation/status fields, usable flags, dataset_url, publication_url, notes, verification_notes, evidence_url.","Populate every registry column explicitly; use Unclear where public evidence is incomplete."
id_assignment,"DS109; DS110; DS111; DS112; DS113; DS114","IDs are currently available because max existing ID is DS108, but they should be reserved only if all six rows are implemented together.","Safe if appended sequentially; risky if partial implementation occurs. If only top candidates are added, assign contiguous IDs only to implemented rows."
DS109_DS110_DS111_counting,"DS109; DS110; DS111","Plan splits one GEO SuperSeries/study into three rows and sets DS109 TRUE while DS110/DS111 FALSE. This is workable but requires DS109 to be clearly defined as the study-family anchor, not just one biopsy scRNA-seq assay.","Either add one multi-omics family row for GSE250498, or keep the three-row split but make DS109 name/notes explicitly say it is the counting anchor for the anti-integrin UC study family."
DS109_accession,DS109,"Uses GSE250487 plus phs003502.v1.p1 but omits SuperSeries GSE250498 and PRJNA1054155 from accession/evidence.","Consider accession='GSE250498; GSE250487; phs003502.v1.p1; PRJNA1054155' or keep GSE250498 in notes/evidence if accession stays subseries-focused."
DS110_accession,DS110,"Uses the same dbGaP accession as DS109/DS111; duplicate controlled raw companion may look like independent raw dataset if not explained.","Keep component_of_dataset_id=DS109 and overlap_notes should state phs003502.v1.p1 is a shared controlled raw companion, not a separate cohort."
DS111_accession,DS111,"Same issue as DS110; CITE-seq is matched study-family component, not independent cohort.","Keep FALSE and component_of_dataset_id=DS109 if split is retained."
DS112_counting,DS112,"TRUE may be okay, but public EGA evidence says 38 IBD patients, 80 stimulated samples, and dataset table lists 20 samples; publication link is unclear.","Keep TRUE only with notes that it is one controlled-access PBMC multiome resource, not 80 independent cohorts. Set publication_title/year/doi/pmid to Unclear unless sourced."
DS112_access,DS112,"Controlled-access EGA row needs explicit controlled_access=Yes, raw/processed availability conservative, and data_access_status controlled.","Use raw_data_available=No or Controlled/Unclear per local convention, processed_data_available=Unclear, controlled_access=Yes, data_access_status='Controlled access'."
DS113_DS114_counting,"DS113; DS114","Unclear is appropriate. CosMx and Xenium are sibling platform components, likely same benchmark family, not clean parent/component rows.","Keep component_of_dataset_id blank unless a parent family row is created; do not set either TRUE until platform/sample overlap policy is decided."
DS113_source_risk,DS113,"GSE312415 was not in the earlier top-candidate verification table, but public search supports it as the CosMx companion. Needs direct GEO/source verification before implementation.","Source-check GSE312415 directly and capture GEO title, sample count, raw files, BioProject, and publication linkage before adding."
DS114_source_status,DS114,"GSE312420 is verified as Xenium component, but GEO says citation missing while Nature 2026 article exists.","Add row only with conservative publication linkage notes unless GEO citation is updated or publication data availability directly confirms GSE312420."
