"dataset_id","accession","study_name","likely_family","overlap_risk","countable_as_independent_dataset","evidence_notes","recommended_action"
"DS027","ST002470","PROTECT pediatric UC plasma metabolomics","PROTECT","High","No","Same 2024 CHM paper/PMID as DS057; plasma layer, likely paired/subset of same PROTECT metabolomics cohort.","Keep as modality row; do not count as independent cohort from DS057."
"DS038","GSE109142","PROTECT treatment-naive pediatric UC rectal transcriptome","PROTECT","High","Unclear","PROTECT rectal RNA-seq; baseline/inception context. Likely same broad PROTECT cohort as DS039/DS042 and metabolomics rows, but different assay/release.","Count as independent omics accession, not independent participants without subject ID reconciliation."
"DS039","GSE150961","PROTECT treatment-naive and follow-up pediatric UC rectal expression","PROTECT","High","Unclear","PROTECT baseline/follow-up RNA-seq; likely overlaps DS038 cohort but includes longitudinal/follow-up samples.","Treat as related longitudinal extension; avoid summing samples with DS038."
"DS042","GSE185061","PROTECT-like pediatric UC rectal methylation","PROTECT","Medium","Unclear","Pediatric UC rectal methylation; cohort relationship to PROTECT needs explicit source-level confirmation.","Keep family tag as PROTECT/PROTECT-like pending subject-level audit."
"DS057","ST002471","PROTECT pediatric UC stool metabolomics","PROTECT","High","No","Same 2024 CHM paper/PMID as DS027; stool layer, paired/companion to plasma metabolomics.","Keep as stool modality row; do not count independently from DS027 cohort."
"DS005","GSE57945","Pediatric Crohn ileal transcriptome and microbiome","RISK / pediatric CD","Medium","Unclear","Pediatric ileal CD transcriptome/microbiome; may be related to pediatric inception/RISK-style cohorts, but registry evidence does not prove overlap with DS040/DS041.","Mark possible family overlap; verify source cohort before summing with RISK rows."
"DS040","GSE117993","RISK pediatric IBD rectal biopsy transcriptome","RISK","High","Unclear","RISK rectal RNA-seq, diagnostic colonoscopy cohort. Likely same consortium family as DS041 but different tissue/disease scope.","Count as separate accession/tissue, not independent cohort from DS041 without subject IDs."
"DS041","GSE93624","RISK pediatric Crohn ileal transcriptome","RISK","High","Unclear","RISK ileal CD RNA-seq with follow-up outcome; likely overlaps RISK family with DS040.","Keep as ileal CD accession; avoid summing participant counts with DS040."
"DS001","GSE111889; phs001626.v1.p1; PRJNA398089","IBDMDB / iHMP IBD Multi-omics","IBDMDB / iHMP","Low vs IBD200; High internal","Yes","Distinct HMP2/IBDMDB longitudinal multi-omics cohort; internally multi-modal and longitudinal.","Count once at cohort level; modality counts should not be summed as cohorts."
"DS026","MSV000086509","IBD200 multi-omics of IBD severity","IBD200","High with DS059","No","Same DOI/PMID as DS059; combined fecal proteomics/metabolomics dataset in IBD200.","Treat DS026/DS059 as same IBD200 study family; count once."
"DS056","ST001000; PRJNA400072","Gut microbiome structure and metabolic activity in IBD","PRISM/Broad stool multi-omics","Low","Yes","220 stool metabolomics/metagenomics samples; distinct 2019 Nature Microbiology study, not same PMID as IBDMDB/IBD200.","Count as independent study family, but one cohort despite two accessions."
"DS059","MSV000084908","IBD200 fecal metabolomics layer","IBD200","High with DS026","No","Same DOI/PMID as DS026; retained as distinct metabolomics accession pending harmonization.","Do not count as independent cohort from DS026; consider linking as component accession."
"DS047","GSE112366","UNITI-2 / IM-UNITI Crohn ileal biopsy expression","Ustekinumab CD trial","Medium","Unclear","UNITI/IM-UNITI Crohn treatment-trial family; may relate conceptually to DS107, but accession differs.","Keep as trial-family row; verify subject/trial overlap before summing with other ustekinumab CD rows."
"DS049","GSE206285","UNIFI ustekinumab UC baseline biopsy expression","Ustekinumab UC trial","Low","Yes","UC UNIFI baseline sigmoid biopsy expression; distinct disease/trial family from UNITI CD.","Count as independent UC trial cohort."
"DS060","GSE87473","Moderate-to-severe UC mucosal biopsy expression","UC therapeutic/superseries","Medium","Unclear","SuperSeries/subseries details unresolved; treatment-response context.","Keep review flag until subseries and overlap with other UC trial rows are clarified."
"DS061","GSE16879","IBD mucosal expression before/after first infliximab","Infliximab IBD","High with DS088 IFX component","Unclear","Before/after first infliximab mucosal cohort; DS088 notes IFX biopsies from 23 UC before/after first IFX.","Audit sample IDs against DS088 before counting as independent."
"DS062","GSE12251","ACT1 UC predictive response to infliximab","Infliximab UC / ACT","Medium","Unclear","ACT1 infliximab UC response cohort; likely distinct from DS063/DS061 but same therapeutic family.","Count only after trial/source metadata verification."
"DS063","GSE14580","UC mucosal signatures to predict infliximab response","Infliximab UC","Medium","Unclear","UC infliximab response cohort; detailed response labels pending.","Keep as separate accession but do not aggregate as independent trial until source verified."
"DS064","GSE52746","Crohn mucosa before/after anti-TNF therapy","Anti-TNF CD","Low/Medium","Unclear","Crohn anti-TNF mucosal cohort; disease differs from UC infliximab rows, but same anti-TNF family.","Count cautiously; verify therapy/timepoint annotations."
"DS083","GSE212849","PROgECT golimumab response in UC","Golimumab UC / PROgECT","Low","Yes","84 baseline UC colon biopsies in PROgECT golimumab trial; distinct accession/trial.","Count as independent trial cohort."
"DS084","E-MTAB-7845","Vedolizumab response in IBD","Vedolizumab IBD","Medium","Unclear","47 CD/UC baseline mucosal RNA-seq samples; vedolizumab response cohort.","Count separately from DS088 only after confirming no Leuven/GEMINI overlap."
"DS085","GSE152316","BERGAMOT Crohn etrolizumab RNA-seq","Etrolizumab CD / BERGAMOT","Low","Yes","Crohn BERGAMOT cohort 1; etrolizumab/placebo trial.","Count as independent CD etrolizumab trial cohort."
"DS088","GSE73661","Vedolizumab and infliximab UC mucosal expression","Vedolizumab UC / GEMINI plus IFX comparator","High with DS061 component; Medium with DS084","Unclear","GEMINI/LTS vedolizumab samples plus IFX comparison from 23 UC before/after first IFX.","Split conceptual components in notes; avoid summing with DS061 until IFX overlap checked."
"DS091","E-MTAB-7604; ERP113396","Anti-TNF inflamed mucosa RNA-seq","Anti-TNF IBD","Medium","Unclear","Adult IBD inflamed mucosa, adalimumab/infliximab responder/non-responder; exact CD/UC split unclear.","Keep as independent accession, but mark anti-TNF family overlap risk."
"DS098","GSE69446; SRP058953; PRJNA285507","NOD2 genotype monocyte RNA-seq/miRNA-seq in Crohn","NOD2 innate monocyte functional genomics","Low","Yes","Not a therapeutic trial despite being listed in this audit set; ex vivo MDP stimulation/genotype study.","Reclassify outside therapeutic trial family; count independently if retained."
