dataset_id,reason_for_unclear,exact_public_evidence_needed,likely_resolvability,recommended_next_action
DS004,"Same Nat Commun 2023 family as DS017/DS018; bulk RNA-seq arm lacks public subject crosswalk to single-cell/spatial arms.","GSE235236 GSM metadata; Nat Commun 2023 supplement sample/cohort table; shared donor/sample/block IDs versus GSE214695/GSE234713.","Medium from public metadata","Run source-controlled sample-ID crosswalk across the three GEO records; resolve TRUE/FALSE only if donor IDs or explicit independent cohort language are found."
DS017,"Same study family as DS004/DS018; scRNA-seq arm may share or differ from bulk/spatial subjects.","GSE214695 GSM metadata; publication supplement; donor IDs against GSE235236 and GSE234713.","Medium from public metadata","Review with DS004/DS018 as one bundle; do not decide row alone."
DS018,"CosMx arm described as additional FFPE/surgical-resection cohort, but registry-level unique-subject overlap with DS004/DS017 remains unproven.","GSE234713 GSM metadata; CosMx sample table; donor/block descriptors against DS004/DS017.","Medium from public metadata","Prioritize after DS004/DS017; likely resolvable if supplement has sample table."
DS005,"RISK ileal pediatric row may overlap DS040/DS041 but current notes lack reconciled subject IDs.","GSE57945 series matrix/SOFT sample titles; CCFA_Risk IDs; publication supplement mapped to GSE117993/GSE93624.","High from public metadata","Build RISK sample-ID crosswalk; decide if DS005 is same-family independent cohort, component, or remains Unclear."
DS040,"RISK rectal diagnostic RNA-seq may overlap DS041 ileal Crohn and DS005 RISK-derived ileal rows.","GSE117993 matrix/SOFT sample IDs; RISK_Rectal identifiers; supplement tables with participant IDs.","High from public metadata","Review DS005/DS040/DS041 together; avoid isolated patch."
DS041,"RISK ileal Crohn RNA-seq likely shares RISK cohort with DS040, but exact subject overlap is not public in current row notes.","GSE93624 matrix/SOFT sample IDs; RISK ileal participant IDs; compare to DS040/DS005.","High from public metadata","Same RISK crosswalk task; likely one of the highest-value resolutions."
DS027,"PROTECT plasma metabolomics may be paired or partially overlapping with DS057 stool metabolomics.","Metabolomics Workbench ST002470 sample metadata/factors; participant/sample IDs matched to ST002471.","High from public metadata","Download MW metadata for ST002470 and ST002471; resolve paired-modality relationship."
DS057,"PROTECT stool metabolomics companion to DS027; pairing/overlap not yet confirmed.","Metabolomics Workbench ST002471 sample metadata/factors; participant/sample IDs matched to ST002470.","High from public metadata","Review with DS027; likely can set one component/paired note if IDs match."
DS042,"PROTECT rectal methylation likely overlaps other PROTECT rows, but not reconciled to transcriptomic/metabolomic PROTECT IDs.","GSE185061 sample IDs; PROTECT IDs; crosswalk to PROTECT RNA-seq/metabolomics rows if shared IDs are exposed.","Medium from public metadata","Review after DS027/DS057; may require manual harmonization if IDs differ by assay."
DS035,"IIBDGC/NIDDK GSA GWAS is multi-cohort controlled-access genetics resource, not a clean single cohort.","dbGaP public documents, DUC, BioProject/EGA metadata, any public cohort manifest defining component cohorts.","Low from public metadata alone","Manual policy decision needed: count as one resource-only GWAS row or exclude from cohort counts; do not force TRUE/FALSE from public metadata."
DS047,"UNITI row has confirmed shared UNITI-2 subject IDs with DS107 but different tissue/timepoints; countability is a modeling decision.","GSE112366 and GSE207022 matrix subject IDs; trial arm/timepoint/tissue mapping; existing 115-overlap check.","High evidence exists; needs curation decision","Manual/source-controlled review: choose whether DS047 or DS107 is primary, or keep both Unclear with shared-subject warning."
DS107,"UNITI row overlaps DS047 subjects but is not an exact duplicate due rectum/week-0 focus.","GSE207022/GSE112366 subject ID overlap table; tissue/timepoint/sample count comparison.","High evidence exists; needs curation decision","Resolve together with DS047; likely not public-evidence-limited, mainly count-policy-limited."
DS061,"First-infliximab IBD/UC cohort may overlap DS088 IFX comparator; sample IDs/platforms differ.","GSE16879 GSM metadata; publication patient tables; compare UC before/W4-6 IFX descriptors to GSE73661 IFX subset.","Medium/Low from public metadata","Manual source review likely needed; public metadata may not expose enough patient IDs."
DS088,"GEMINI vedolizumab row includes IFX comparator that may reprofile/subset DS061 UC IFX cohort.","GSE73661 series matrix; IFX comparator GSM labels; publication supplement; compare to GSE16879.","Medium/Low from public metadata","Review with DS061; if no patient crosswalk, keep Unclear and preserve likely-overlap warning."
DS095,"SP140 perturbation PBMC row may share donors with DS099 but donor labels are not directly reconcilable.","GSE161031 matrix/SOFT; genotype/age/condition/donor labels; compare with GSE83381 labels.","Medium from public metadata","Try public GEO donor-label crosswalk first; keep Unclear if only inferred donor numbers exist."
DS099,"SP140 PBMC/macrophage row shares family with DS095; overlap cannot be ruled in/out from current labels.","GSE83381 matrix/SOFT; BioProject/SRA sample metadata; donor/genotype labels against GSE161031.","Medium from public metadata","Review with DS095; do not assign component unless explicit donor overlap is proven."
