accession,trial_or_study,omics_layer,repository,publication_or_pmid,already_covered,confidence_notes
GSE207465,"UNITI-2 / Stelara CD phase 3, ustekinumab or placebo, whole blood at wk0/wk6/wk8","Bulk transcriptomics, microarray",GEO,"PMID 38840917 reanalysis; Gut PMID 36109152 data statement",No,"High. Strong missing trial companion to DS047/DS107 UNITI intestinal rows."
GSE98820,"Adalimumab-treated Crohn disease, biopsies before/after 3 months","Bulk transcriptomics, microarray",GEO,"GEO citation missing",No,"High. Clear adalimumab clinical-treatment omics; not in CSV."
GSE111761,"Anti-TNF responder vs non-responder Crohn LPMCs during ongoing therapy","Bulk transcriptomics, microarray",GEO,"PMID 29848778",No,"High. Small but directly anti-TNF response related."
GSE234981,"Vedolizumab-treated IBD case-control colon biopsy sorted T-cell transcriptomes","Bulk/sorted-cell RNA-seq",GEO,"PMID 37837660",No,"High. Vedolizumab exposure study; not GEMINI but clinically relevant anti-integrin omics."
"GSE250498; GSE250487; GSE250488; GSE250490","UC patients on vedolizumab/5-ASA plus controls; anti-integrin cellular effects","scRNA-seq, CITE-seq, spatial/CosMx-linked resources; raw via dbGaP phs003502.v1.p1","GEO/dbGaP/Figshare","PMID 38374043",No,"High. Modern multi-omic anti-integrin/vedolizumab resource. Add as one family or split by subseries."
GSE261334,"Vedolizumab UC responders/nonresponders before and week 6","PBMC single-cell transcriptomics, immune repertoire likely",GEO,"Gastroenterology 2025 article; accession named in data availability",No,"High. Direct response-prediction clinical-treatment dataset."
GSE228165,"Vedolizumab response in UC and immune cell-cell communication","Likely single-cell transcriptomics",GEO,"DOI 10.1093/ibd/izad084",No,"Medium-high. Needs source-level check for exact sample/tissue metadata before promotion."
GSE252122,"Etrolizumab-related alphaEbeta7 mechanism in CD T cells",scRNA-seq,GEO,"PMID 38310086",No,"Medium-low for clinical-trial gap task. Etrolizumab-relevant but not actual etrolizumab-treated trial samples; 1 CD plus 1 control."
GSE186507,"MSCCR adult IBD blood expression; treatment-responsive molecular inflammation score context","Bulk RNA-seq",GEO,"PMID 36109152","No, but related to DS003/DS049 paper family","Medium. Important clinical biomarker companion, but not a named biologic trial dataset."
"GSE102133 / GSE102134","Crohn ileal mucosa, postoperative recurrence/new/late CD","mRNA microarray + miRNA superseries",GEO,"PMID 30657881",No,"Low for clinical-trial gap task. Useful but not a biologic clinical-trial omics row."
GSE186582,"Crohn postoperative recurrence ileal mucosa","Bulk microarray",GEO,"PMID 35143619",No,"Low for clinical-trial gap task. Large and useful, but not a biologic clinical-trial omics row."
