"dataset_id","accession","candidate_study_family","confidence","rationale"
"DS047","GSE112366","UNITI_ustekinumab_Crohn","medium","Row names UNITI-2 / IM-UNITI Crohn trial biopsy expression; keep broad UNITI family because induction/maintenance components may both be present."
"DS049","GSE206285","UNIFI_ustekinumab_UC","high","UNIFI is explicit in dataset/study name; trial name is the right family anchor."
"DS060","GSE87473","adalimumab_UC_moderate_severe_GSE87473","low","Obvious treatment-trial signal from public summaries/subseries context, but current row does not clearly name the source trial; needs source check before assigning a formal trial family."
"DS062","GSE12251","ACT1_infliximab_UC","high","ACT1 is explicit in current row; should share family with other ACT 1-derived rows if sample overlap is possible."
"DS063","GSE14580","Leuven_infliximab_UC_Gut2009","medium","Same Gut 2009 infliximab-response publication family as DS062, but source cohort appears Leuven rather than ACT1; do not force ACT1."
"DS083","GSE212849","PROgECT_golimumab_UC","high","PROgECT phase 2a golimumab UC trial is explicit."
"DS085","GSE152316","BERGAMOT_etrolizumab_Crohn","high","BERGAMOT cohort 1 etrolizumab Crohn trial is explicit."
"DS088","GSE73661","GEMINI_vedolizumab_UC_with_IFX_comparator","high","GEMINI vedolizumab trial source is explicit, but label should retain IFX comparator warning."
"DS102","GSE100833","CERTIFI_ustekinumab_Crohn","medium","Phase 2b ustekinumab Crohn study appears to correspond to CERTIFI, but confirm against GEO/publication before finalizing."
"DS105","GSE72819","EUCALYPTUS_etrolizumab_UC","high","EUCALYPTUS phase II etrolizumab UC study is explicit in the current row."
"DS106","GSE23597","ACT1_infliximab_UC","high","ACT 1 placebo-controlled infliximab UC study is explicit; should share family with DS062 pending sample-level reconciliation."
"DS107","GSE207022","UNITI_ustekinumab_Crohn","high","UNITI-2 phase 3 ustekinumab Crohn biopsy expression is explicit; likely belongs with UNITI-family rows such as DS047."
