"dataset_id","dataset_name","trial_or_study_name","study_family","intervention_or_treatment_class","omics_layer","disease","specimen_type","anatomical_site","study_design","longitudinal","treatment_metadata","usable_for_treatment_response","sample_size_subjects","data_access_status","reuse_readiness","count_as_independent_cohort","manual_review_needed","dataset_url","publication_url","notes"
"DS001","IBDMDB / iHMP IBD Multi-omics","IBDMDB; iHMP","IBDMDB_iHMP_HMP2","Unclear","Multi-omics; Bulk transcriptomics; Metagenomics; Metatranscriptomics; Metabolomics; Metaproteomics; Virome","Crohn disease; ulcerative colitis; non-IBD controls","Stool samples; intestinal biopsies; blood","Colon; Ileum; Rectum; Blood; Stool","Longitudinal cohort","Yes","Yes","TRUE","132","Public processed data; controlled access for some components","Processed data reusable","TRUE","FALSE","https://ibdmdb.org","https://www.nature.com/articles/s41586-019-1237-9","IBDMDB/iHMP/HMP2 longitudinal multi-omics parent row. Count once at cohort level only; do not count modality accessions, portal records, dbGaP, GEO, BioProject/SRA, or IBDMDB portal components as separate cohorts. Public sources describe 132 subjects followed for one year with 2,965 stool, biopsy, and blood specimens and multiple assay layers. GEO GSE111889 is the host transcriptomics component; dbGaP phs001626.v1.p1 and BioProject PRJNA398089 describe the broader IBDMDB/HMP2 resource."
"DS005","GSE57945","GSE57945; pediatric Crohn ileal transcriptome and microbiome","RISK_pediatric_IBD_mucosal_RNAseq","Unclear","Bulk transcriptomics","Pediatric Crohn disease; ulcerative colitis; non-IBD controls","Ileal biopsies","Ileum","Cross-sectional","No","Partial","TRUE","359","Public raw data; public processed data","Processed data reusable","Unclear","TRUE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57945","https://pubmed.ncbi.nlm.nih.gov/25003194/","RISK pediatric inception-cohort ileal RNA-seq family. GEO sample titles use CCFA_Risk IDs and the JCI publication states samples came from the RISK study. Same broad RISK family as DS040/DS041; public records do not prove exact subject overlap or independence across RISK accessions, so do not sum cohort counts as independent without subject-level reconciliation."
"DS013","GSE94648","GSE94648; blood biomarkers of mucosal healing and endoscopic response","UC_mucosal_healing_blood_biomarkers_GSE94648","Unclear","Bulk transcriptomics","Ulcerative colitis; Crohn disease; non-IBD controls","Peripheral whole blood","Blood","Cross-sectional","No","Unclear","TRUE","Unclear","Public raw data; public processed data","Analysis-ready candidate","TRUE","TRUE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE94648","https://pubmed.ncbi.nlm.nih.gov/28981629/","Peripheral-blood biomarker cohort for mucosal healing/endoscopic response; count independently from tissue-biopsy cohorts."
"DS019","GSE282122","Anti_TNF_longitudinal_single_cell_IBD","Anti_TNF_longitudinal_single_cell_IBD","anti-TNF","Single-cell transcriptomics","Crohn disease; ulcerative colitis","Gut biopsies","Intestinal mucosa; gut regions","Longitudinal treatment cohort","Yes","Yes","TRUE","41","Public processed data","Processed data reusable","TRUE","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282122","https://pubmed.ncbi.nlm.nih.gov/39438660/","Direct longitudinal IBD single-cell source cohort. No current scIBD/Gut Cell Atlas/HCA component hit found in local coverage; keep independent unless a future integrated resource reuses it."
"DS020","Martin et al. 2019 Cell / GIMATS anti-TNF resistance","Martin et al. 2019 Cell / GIMATS anti-TNF resistance","scIBD_Gut_Cell_Atlas_source_cohort","anti-TNF","Single-cell transcriptomics","Crohn disease","Ileal resection tissue; PBMC","Ileum; blood","Cross-sectional","No","Yes","TRUE","Unclear","Public raw data; public processed data","Analysis-ready candidate","TRUE","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134809","https://doi.org/10.1016/j.cell.2019.08.008","Direct Crohn single-cell source cohort reused by scIBD and Gut Cell Atlas; count the source dataset once, not again through either portal."
"DS021","HCA Crohn ileal mucosa single-cell project","HCA; treatment-naive and treated Crohn ileal mucosa","HCA_Crohn_ileal_mucosa_source_cohort","Unclear","Single-cell transcriptomics","Crohn disease; non-IBD controls","Terminal ileal mucosal biopsies","Ileum; ileal mucosa","Cross-sectional single-cell atlas","No","Unclear","TRUE","27","Public raw data; public processed data","Analysis-ready candidate","TRUE","TRUE","https://explore.data.humancellatlas.org/projects/9dd91b6e-7c62-49d3-a3d4-74f603deffdb","https://pubmed.ncbi.nlm.nih.gov/36206201/","Specific HCA/GEO project-backed Crohn ileal mucosa dataset. Keep as an independent primary source row; do not make it component_of the broad HCA portal row."
"DS027","ST002470 (UC metabolomics, Metabolomics Workbench)","PROTECT","PROTECT_pediatric_UC_metabolomics","Unclear","Metabolomics","Ulcerative colitis","Blood plasma","Blood/Plasma","Cross-sectional","No","Unclear","TRUE","89 subjects","Public raw data; public processed data; public portal","Processed data reusable","FALSE","TRUE","https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST002470","https://doi.org/10.1016/j.chom.2023.12.013","PROTECT pediatric UC plasma metabolomics layer paired to DS057/ST002471 stool metabolomics. Public Metabolomics Workbench factors show all 89 DS027 numeric local_sample_id values match DS057 STL-prefixed stool IDs after stripping STL; matching records share collectionWeek and PUCAI_C3_WKall factors. Do not count DS027 as an independent cohort from DS057."
"DS038","GSE109142 PROTECT pediatric UC rectal RNA-seq","PROTECT","PROTECT_pediatric_UC_rectal_RNAseq","Unclear","Bulk transcriptomics","Pediatric ulcerative colitis; non-IBD controls","Rectal biopsies","Rectum","Treatment-naive inception cohort","No","Yes","TRUE","226 samples in GEO; publication reports 206 UC discovery, 50 UC validation, and 20 controls across deposited PROTECT/RISK context","Public raw data; public processed data","Raw data reusable","TRUE","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE109142","https://www.nature.com/articles/s41467-018-07841-3","Primary PROTECT pediatric UC rectal RNA-seq cohort row. GSE109142 is PROTECT baseline/treatment-naive rectal biopsy RNA-seq from 206 new-onset pediatric UC patients plus controls. Same study family as DS039/GSE150961, but public records do not expose a direct subject-ID crosswalk proving exact sample overlap. Count this as the independent PROTECT cohort row."
"DS039","GSE150961 PROTECT pediatric UC baseline and follow-up RNA-seq","PROTECT","PROTECT_pediatric_UC_rectal_RNAseq","Unclear","Bulk transcriptomics","Pediatric ulcerative colitis","Rectal biopsies","Rectum","Baseline and one-year follow-up cohort","Yes","Yes","TRUE","Unclear","Public raw data; public processed data","Raw data reusable","FALSE","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE150961","Unclear","Same PROTECT pediatric UC inception cohort family as DS038. GSE150961 is a later PROTECT rectal RNA-seq record focused on colectomy risk and one-year follow-up, with 418 rectal biopsies and baseline/follow-up design. Public GEO/PMC records prove same PROTECT family but do not prove a formal component/subset relationship to DS038 or provide a direct DS038-to-DS039 subject crosswalk. Do not count as an independent cohort from DS038; treat as same-family longitudinal/follow-up PROTECT expression resource."
"DS041","GSE93624 RISK pediatric Crohn ileal RNA-seq","RISK","RISK_pediatric_IBD_mucosal_RNAseq","Unclear","Bulk transcriptomics","Pediatric Crohn disease; non-IBD controls","Ileal biopsies","Ileum","Treatment-naive pediatric Crohn inception cohort with follow-up outcome","Yes","Unclear","TRUE","245","Public raw data; public processed data","Raw data reusable","Unclear","TRUE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE93624","https://pubmed.ncbi.nlm.nih.gov/28805827/","RISK pediatric ileal Crohn RNA-seq row. GSE93624 contains ileal expression at diagnosis from 210 treatment-naive pediatric Crohn disease patients and 35 non-IBD controls from the RISK study, with 3-year complication follow-up. Same RISK family as DS040/GSE117993, but public records do not prove exact subject/sample overlap with the rectal RISK row. External non-row RISK ileal records GSE62207/GSE101794 appear same-family and have reported duplication risk in secondary literature, but they are not current CSV rows."
