candidate,accessions_or_portal_ids,modalities,already_covered_by_dataset_id,manual_review_notes,evidence_url
UCSF anti-integrin UC single-cell/spatial multi-omics,"GSE250498 SuperSeries; GSE250487 biopsy scRNA-seq; GSE250488 blood scRNA-seq; GSE250490 biopsy CITE-seq; phs003502.v1.p1 raw controlled data; PRJNA1054155","scRNA-seq; CITE-seq; spatial multi-omics/CosMx/MIBI/CODEX via publication/Figshare",No,"High-priority missing accession-level row. GEO confirms public processed SuperSeries and subseries; Nature data availability says raw sequencing is controlled in dbGaP and processed AnnData/Figshare objects include scRNA, CITE-seq, CyTOF, and CosMx. Needs row split decision: one multi-omics row vs subseries rows.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250498; https://www.nature.com/articles/s41467-024-45665-6"
IBD PBMC single-nucleus multiome stimulation study,"EGAS50000000140; EGAD50000000198","10x Multiome paired snRNA-seq + snATAC-seq; PBMC stimulation",No,"High-priority controlled-access gap. EGA reports 38 CD/UC patients, RPMI/LPS/Salmonella stimulations, 80 samples, multiplexed single-nuclei libraries. Needs publication/DOI linkage and access-status curation.","https://ega-archive.org/studies/EGAS50000000140"
IBD spatial transcriptomics platform benchmark,"GSE312420; PRJNA1373279","Xenium spatial transcriptomics; publication compares Xenium/CosMx across IBD tissue sections",No,"High-priority spatial gap. GEO confirms 32 Xenium samples, IBD/controls, 34.1 GB raw custom files, public 2026 release. Publication says over 100 tissue sections and over 3M cells across CosMx/Xenium, but GEO record opened is Xenium-specific; search for CosMx companion accession before adding final row.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312420; https://www.nature.com/articles/s41467-026-72482-w"
Developing human gut with pediatric Crohn links,"E-MTAB-8901; ERP121018; CELLxGENE collection 17481d16-ee44-49e5-bcf0-28c0780d8c4a",scRNA-seq,"No primary row; present in resource_coverage as Review/No","Review-only candidate. BioStudies describes fetal/embryonic gut plus healthy children and newly diagnosed pediatric Crohn terminal ileum samples. Could be useful, but it is partly developmental/reference and may overlap Gut Cell Atlas resources; add only if direct pediatric Crohn subset is curated clearly.","https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-8901; https://cellxgene.cziscience.com/collections/17481d16-ee44-49e5-bcf0-28c0780d8c4a"
Pediatric-onset colitis/IBD controlled raw discovery cohort,"HRA000072; PRJCA001735","single-cell RNA-seq, controlled raw access","Likely DS076 component/release","Do not add as independent before reconciling with DS076/GSE121380. GSA-Human title matches the pediatric-onset colitis/IBD study and appears to be controlled-access discovery cohort material from the same publication family.","https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000072"
CELLxGENE IBD Nat Commun 2023 collection,"CELLxGENE collection 7c7bd6c2-925b-4034-baab-620ef1b760e1; dataset 9bfecd44-e6b5-4072-9b64-cb7f0a117f88","standardized scRNA-seq collection","DS017; related DS004/DS018","Covered as source GEO rows. Keep as portal/resource_coverage evidence, not a new primary row, unless adding CELLxGENE mirror IDs to evidence_url.","https://cellxgene.cziscience.com/collections/7c7bd6c2-925b-4034-baab-620ef1b760e1; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214695"
CELLxGENE / Single Cell Portal Crohn atlas,"CELLxGENE collection 5c868b6f-62c5-4532-9d7f-a346ad4b50a7; SCP1884",scRNA-seq,DS078,"Covered. Do not add duplicate CELLxGENE row; optional evidence_url enrichment only.","https://cellxgene.cziscience.com/collections/5c868b6f-62c5-4532-9d7f-a346ad4b50a7; https://singlecell.broadinstitute.org/single_cell/study/SCP1884"
CELLxGENE / HCA / SCP UC colon rewiring atlas,"CELLxGENE collection 33d19f34-87f5-455b-8ca5-9023a2e5453d; HCA project cd61771b-661a-4e19-b269-6e5d95350de6; SCP259",scRNA-seq,DS073,"Covered. HCA/CELLxGENE are mirror/standardized portal records for same UC colon atlas; do not count separately.","https://explore.data.humancellatlas.org/projects/cd61771b-661a-4e19-b269-6e5d95350de6; https://singlecell.broadinstitute.org/single_cell/study/SCP259"
Single-cell integration reveals metaplasia in inflammatory gut diseases,"CELLxGENE collection f11cb29c-b546-4738-9bd8-66ea621a7bd5; BioImage Archive S-BIAD1139","integrated scRNA-seq atlas; inflammatory gut disease mapping",No,"Integrated-consortium candidate, not a primary source cohort. Add to integrated_resources/resource_coverage rather than primary registry unless source datasets are split and reconciled. High overcounting risk because it integrates many existing gut/IBD datasets.","https://cellxgene.cziscience.com/collections/f11cb29c-b546-4738-9bd8-66ea621a7bd5; https://www.omicsdi.org/dataset/bioimages/S-BIAD1139"
Spatiotemporal human intestinal development scRNA-seq,"GSE158702; GSE158704; PRJNA666217",developmental gut scRNA-seq,"No primary row; present in resource_coverage as non-primary reference","Not recommended as a primary IBD row. scIBD uses it as a development/reference component; GEO is fetal intestine development, not direct IBD patient cohort.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158702"
Human intestinal tract mapped across space and time,"E-MTAB-9543; E-MTAB-9536; CELLxGENE collection e33ffcd3-7cbf-4b8c-b0f4-85587ad5019a","healthy/reference gut scRNA-seq","No primary row; present in resource_coverage as non-primary reference","Do not add as primary IBD dataset. Useful integrated-resource context for Gut Cell Atlas/scIBD but primarily reference/developmental healthy gut atlas.","https://www.nature.com/articles/s41586-021-03852-1; https://cellxgene.cziscience.com/collections/e33ffcd3-7cbf-4b8c-b0f4-85587ad5019a"
