"item","assessment"
"likely_family","IBD200 / location-specific Crohn disease multi-omics"
"DS026","Primary multi-omics row: MSV000086509, fecal metaproteomics plus metabolomics, same paper DOI/PMID as DS059."
"DS059","Component/metabolomics-layer accession: MSV000084908, same IBD200 cohort and same paper DOI/PMID as DS026."
"overlap_risk","High. Same publication, same IBD200 cohort, same disease/sample context, overlapping reported cohort counts: 210 initially profiled / 182 core analysis cohort."
"countable_independently","No, not as an independent cohort."
"row_model_recommendation","Prefer DS026 as the primary IBD200 multi-omics study row and DS059 as a linked component/modality accession, unless the registry intentionally treats every repository accession as its own discoverable row."
"what_not_to_sum","Do not sum DS026 and DS059 subject or sample counts. DS059 should not add another 182/210 subjects or samples to IBD200 coverage."
"recommended_family_tag","study_family=IBD200; optional cohort_family=IBD200_location_specific_CD_multiomics"
"ds026_note","IBD200 primary multi-omics study row. Linked component accession MSV000084908 represents the fecal metabolomics layer from the same publication/cohort and should not be counted as an independent cohort."
"ds059_note","IBD200 metabolomics component accession for the same cohort/publication as DS026 (MSV000086509; PMID 35999575). Keep for accession discoverability only; do not sum subjects or samples with DS026."
"recommended_action","Make DS026 the primary row and mark DS059 as component_of=DS026 or move it to a linked-accession/component field if the schema supports that."
