"resource_id","resource_name","resource_type","scope","omics_layers","included_diseases","approx_size","source_datasets","access_model","access_url","publication_title","publication_year","doi","pmid","limitations","verification_status","evidence_url"
"IR001","scIBD","IBD-specific integrated single-cell atlas","Single-cell meta-analysis platform for IBD across fetal, pediatric, and adult stages; blood, small intestine, and large intestine; healthy, inflamed UC, and inflamed CD states.","Single-cell transcriptomics","ulcerative colitis; Crohn disease; healthy/control states","Approximately 1.14 million single cells from 12 datasets; 9 major cell classes and 101 cell subtypes","12 curated IBD single-cell datasets","Public portal","https://scibd.cn/","Single-cell meta-analysis of inflammatory bowel disease with scIBD","2023","10.1038/s43588-023-00464-9","Unclear","Integrated atlas, not a primary cohort. Source-dataset composition and harmonization choices should be reviewed before using for formal meta-analysis.","source_checked","https://scibd.cn/; https://www.nature.com/articles/s43588-023-00464-9"
"IR002","Gut Cell Atlas / Human Gut Cell Atlas","Pan-GI integrated single-cell and spatial atlas","Integrated human gastrointestinal atlas including healthy and disease datasets; includes UC and CD disease projections.","Single-cell transcriptomics; Spatial transcriptomics","ulcerative colitis; Crohn disease; celiac disease; GI cancers; healthy/control tissue","Approximately 1.6 million cells across integrated gut datasets","Multiple GI single-cell and spatial datasets; reported as 25+ datasets in public summaries","Public portal","https://www.gutcellatlas.org/","Single-cell integration reveals metaplasia in inflammatory gut diseases","2024","10.1038/s41586-024-07571-1","Unclear","Broader pan-GI resource rather than IBD-only. Disease projections and source cohorts should be interpreted in the context of the atlas integration model.","source_checked","https://www.gutcellatlas.org/; https://pmc.ncbi.nlm.nih.gov/articles/PMC11578898/"
"IR003","CELLxGENE IBD Collections","Single-cell collection portal","Public CELLxGENE collections containing IBD-relevant single-cell datasets and standardized cell/tissue/disease annotations.","Single-cell transcriptomics; Spatial transcriptomics where available","ulcerative colitis; Crohn disease; controls across matching collections","Collection-dependent","Multiple CELLxGENE collections; should be split into collection-backed rows for formal analysis","Public portal; H5AD downloads","https://cellxgene.cziscience.com/collections","Multiple or collection-specific","Unclear","Unclear","Unclear","Portal-level row. Each collection has its own source publication, sample count, and annotation model.","manual_review_needed","https://cellxgene.cziscience.com/collections; https://cellxgene.cziscience.com/collections/7c7bd6c2-925b-4034-baab-620ef1b760e1; https://cellxgene.cziscience.com/collections/33d19f34-87f5-455b-8ca5-9023a2e5453d; https://cellxgene.cziscience.com/collections/5c868b6f-62c5-4532-9d7f-a346ad4b50a7"
"IR004","Human Cell Atlas IBD Projects","Consortium single-cell project portal","HCA intestinal and IBD-related single-cell projects, including specific project-backed datasets that may also appear in GEO or CELLxGENE.","Single-cell transcriptomics; Spatial transcriptomics; Multi-omics where available","Crohn disease; controls; broader gut atlas references","Project-dependent","Multiple HCA projects; primary project-backed rows remain in the Dataset Explorer when accession-specific","Public portal; some registration or controlled components possible","https://explore.data.humancellatlas.org/","Multiple or project-specific","Unclear","Unclear","Unclear","Consortium portal rather than one dataset. Individual HCA projects should be represented as primary rows when accession-specific.","source_checked","https://explore.data.humancellatlas.org/; https://explore.data.humancellatlas.org/projects/cd61771b-661a-4e19-b269-6e5d95350de6"
"IR005","IBDTransDB","Curated IBD transcriptomics database","Manually curated IBD bulk transcriptomics database with differential-expression comparisons and exploration tools.","Bulk transcriptomics","IBD; Crohn disease; ulcerative colitis; controls across curated studies","2,932 samples across 34 curated bulk transcriptomic datasets","Multiple GEO/ArrayExpress transcriptomics datasets","Public Shiny portal and GitHub repository","https://abbviegrc.shinyapps.io/ibdtransdb/","IBDTransDB: a manually curated transcriptomic database for inflammatory bowel disease","2024","10.1093/database/baae026","38564306","Aggregated resource; individual dataset metadata and harmonization choices need review for formal reuse.","publication_checked","https://pmc.ncbi.nlm.nih.gov/articles/PMC10986744/; https://github.com/abbviegrc/IBDTransDB"
"IR006","IBD Plexus","IBD clinical and biospecimen consortium resource","Crohn?s & Colitis Foundation research platform linking IBD biospecimens, clinical data, patient-reported outcomes, and molecular data.","Multi-omics; clinical registry; biospecimen-linked data","Crohn disease; ulcerative colitis","Large consortium resource; exact accessible counts depend on study/program","SPARC IBD and related IBD Plexus programs/resources","Application/governance-dependent access","https://www.crohnscolitisfoundation.org/research/signature-foundation-programs/ibd-plexus","Unclear","Unclear","Unclear","Unclear","Not a simple public-download dataset. Access and data availability depend on the program, proposal, and governance route.","source_checked","https://www.crohnscolitisfoundation.org/research/signature-foundation-programs/ibd-plexus"
"IR007","International IBD Genetics Consortium (IIBDGC)","IBD genetics consortium resource","International consortium resource for IBD, CD, and UC genetic studies and summary-statistic resources.","Genetics / GWAS","IBD; Crohn disease; ulcerative colitis","Resource/publication dependent; broad publication reported 96,486 individuals; OpenGWAS resource reported 65,642 for one summary dataset","Multiple GWAS cohorts and consortium datasets","Public processed summary statistics; controlled access for individual-level genotype data","https://www.ibdgc.org/research/resources","Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations","2015","10.1038/ng.3359","26192919","Consortium/resource-level entry; exact ancestry, phenotype, and accession depend on selected subresource.","metadata_checked","https://www.ibdgc.org/research/resources; https://pubmed.ncbi.nlm.nih.gov/26192919/"
"IR008","GWAS Catalog IBD/CD/UC Summary Statistics","GWAS trait and summary-statistics portal","EMBL-EBI GWAS Catalog trait pages and summary-statistics links for IBD, CD, and UC.","Genetics / GWAS","IBD; Crohn disease; ulcerative colitis","Study-dependent aggregate trait resource","Multiple published GWAS","Public processed data","https://www.ebi.ac.uk/gwas/efotraits/EFO_0003767","Multiple published GWAS","Unclear","Unclear","Unclear","Trait-level aggregate; one DOI, PMID, and sample size are not applicable.","metadata_checked","https://www.ebi.ac.uk/gwas/efotraits/EFO_0003767"
"IR009","Open Targets Genetics / Platform (IBD)","Integrative genetics and target-prioritization platform","Integrated public genetics, locus-to-gene, colocalization, and target-prioritization evidence for IBD-related traits and targets.","Genetics / GWAS; integrative genomics","IBD; Crohn disease; ulcerative colitis queryable traits/resources","Not a primary subject-level dataset","Integrated public GWAS and functional genomics sources","Public portal and downloads/API for processed/integrated results","https://genetics.opentargets.org","Open Targets Genetics: systematic identification of trait-associated genes using large-scale genetics and functional genomics","2021","10.1093/nar/gkaa840","33045747","Not a primary dataset; conclusions depend on source evidence and scoring model.","metadata_checked","https://academic.oup.com/nar/article/49/D1/D1311/5921290; https://genetics.opentargets.org"
"IR010","FinnGen / UK Biobank IBD GWAS Resources","Population-biobank GWAS resources","Large population-biobank GWAS resources with IBD, CD, and UC endpoints/traits.","Genetics / GWAS","IBD; Crohn disease; ulcerative colitis phenotypes vary by resource","FinnGen R10 K11_IBD_STRICT reported 9,083 cases after genotype QC; UK Biobank resource counts vary by endpoint and ancestry","FinnGen; UK Biobank; OpenGWAS/Pan-UKB-style processed resources","Public processed summary/statistical resources; controlled access for individual-level biobank data","https://r10.finngen.fi; https://pan.ukbb.broadinstitute.org","Multiple","Unclear","Unclear","Unclear","Combined row should eventually be split into FinnGen-specific and UK Biobank-specific rows for clean sample/accession metadata.","metadata_checked","https://r10.risteys.finngen.fi/endpoints/K11_IBD_STRICT; https://pan.ukbb.broadinstitute.org/docs/study-design/index.html"
