rank,accessions,layer,expected_registry_row_shape,rationale,manual_review_blockers
1,"PRJEB18471; ERP020401",Metagenomics,"repository=ENA/SRA; sample_type=stool; study_family=IBD_gut_microbiome_dynamics_PRJEB18471; countability=countable_independent","Large clear human IBD longitudinal cohort, CD/UC/control, 118 people / 555 samples. Fills major microbiome gap.","Verify publication/PMID and whether any overlap with HMP2/PRISM."
2,GSE112611,"Methylation / Epigenomics","repository=GEO; sample_type=peripheral blood; study_family=RISK_pediatric_Crohn_methylation; countability=countable_independent","High-value pediatric RISK Crohn methylation cohort, 402 samples, diagnosis/follow-up.","RISK family overlap with existing transcriptomic rows should be checked; count once if same subject family appears elsewhere."
3,"ST003312; ST003313",Metabolomics,"repository=Metabolomics Workbench; sample_type=serum; feces; study_family=Crohn_flare_serum_fecal_metabolomics; countability=countable_one_family","Strong paired serum/fecal Crohn flare metabolomics; public record indicates CD/control and prediction/validation structure.","Treat serum and feces as one row/family, not two independent cohorts."
4,ST003161,"Metabolomics / multi-omics context","repository=Metabolomics Workbench; sample_type=feces likely, verify; study_family=SOURCE_Crohn_diet_omics; countability=countable_independent","SOURCE cohort is human CD/control and explicitly non-transcriptomic diet/microbiome/metabolomics context.","Confirm exact sample type and whether associated microbiome accession should be co-listed."
5,"PRJNA1198911; SRP551754",Metagenomics,"repository=NCBI BioProject/SRA; sample_type=stool; study_family=newly_diagnosed_treatment_naive_IBD_metagenomics; countability=countable_independent","Recent public human stool metagenomics for newly diagnosed treatment-naive IBD with CD/UC/indeterminate/control metadata.","Confirm publication status and exact strategy label, since one SRA page displayed AMPLICON despite shotgun study title."
6,"PRJEB15371; ERP017091",Metagenomics,"repository=ENA; sample_type=stool; study_family=123CD_EEN_Crohn_metagenomics; countability=countable_independent","Human Crohn/control shotgun metagenomics around exclusive enteral nutrition, distinct from HMP2/PRISM.","Verify cohort size and publication PMID during accession pass."
7,PXD024229,Proteomics,"repository=PRIDE/ProteomeXchange; sample_type=ascending colon biopsy; study_family=pediatric_IBD_colon_biopsy_treatment_response_proteomics; countability=countable_independent","Clear human pediatric IBD proteomics with treatment-response biology; PMID/DOI available.","Check overlap with RISK/PROTECT or other pediatric inception cohorts if publication names cohort."
8,PXD006383,Proteomics,"repository=PRIDE/ProteomeXchange; sample_type=colonic aspirate / mucosal-luminal interface; study_family=pediatric_IBD_MLI_proteomics; countability=countable_independent","Clear human treatment-naive pediatric IBD/control proteomics, not currently represented.","Confirm whether sample source should be colon aspirate vs MLI and whether publication cohort overlaps known pediatric transcriptomic rows."
9,PXD022433,Metaproteomics,"repository=PRIDE; sample_type=stool; study_family=UC_human_gut_microbiome_metaproteomics; countability=countable_independent","Direct human UC/healthy stool metaproteomics; strong missing metaproteomics row.","Verify if accession should include Zenodo DOI too; confirm no overlap with existing fecal metaproteomics rows."
10,GSE232891,"Methylation / Epigenomics","repository=GEO; sample_type=saliva; study_family=IBD_saliva_EPIC_methylation; countability=countable_independent","Large human CD/UC/control EPIC saliva methylation set, public 2025, not in registry.","Publication missing in GEO; verify suitability despite non-tissue saliva source."
11,PXD053257,Metaproteomics,"repository=PRIDE; sample_type=stool; study_family=IBD_biologic_response_stool_metaproteomics; countability=countable_independent","Human IBD stool before/after biologics; good therapy-response non-transcriptomic complement.","Verify biologics, disease mix, and whether only selected remitters/non-remitters should affect cohort size/countability."
12,"GSE81961; PRJNA323506",Methylation,"repository=GEO; sample_type=peripheral blood; study_family=female_Crohn_blood_450K_methylation; countability=countable_independent","Clean human Crohn/control blood methylation dataset with raw IDATs.","Female-only and modest sample size; lower priority than RISK/GSE232891 but straightforward to verify."
