"dataset_id","accession","omics_layer","current_verification_status","key_missing_evidence","high_value_correction_or_addition_needed","prioritize_next"
"DS023","PXD033158; MSV000089237","Proteomics","source_checked","Publication linkage is conservative; publication_checked=FALSE; sample_size_subjects is Unclear despite cohort counts in platform/publication notes.","Confirm whether PMID 38552248 is the correct primary citation for this archive row; normalize subject/sample counts into the sample_size fields.","Yes"
"DS024","PXD010371","Metaproteomics","publication_checked","No major gap for triage.","None urgent; already has accession, DOI/PMID, disease groups, n=71, raw/processed access.","No"
"DS025","PXD001608","Proteomics","publication_checked","No major gap for triage.","None urgent; row has DOI/PMID, n=20 biopsies, 60 raw runs, source and publication evidence.","No"
"DS026","MSV000086509","Metaproteomics; Metabolomics","publication_checked","MassIVE access marked Partial Public; distinction between 210 initial samples and 182 core subjects could confuse analysis scoping.","Add explicit analysis-use note: use 182 core cohort unless raw-level inclusion is rechecked.","Review"
"DS027","ST002470","Metabolomics","publication_checked","Subject count remains Unclear; row only has 89 plasma samples.","Extract unique subject count from MW/publication if needed; otherwise sample-level triage is usable.","Review"
"DS050","PXD001821; PASS00661","Proteomics; targeted proteomics","publication_checked","sample_metadata_checked=FALSE; PXD discovery pool subject count unclear; PASS00661 sample count unclear; pooled phenotype RAW files complicate use.","Split or annotate discovery PXD vs targeted PASS evidence; add clear discovery/verification cohort counts before analysis use.","Yes"
"DS051","PXD012284","Proteomics","publication_checked","No major gap for triage.","None urgent; row has publication, n=16 subjects, 32 biopsies, 96 RAW files.","No"
"DS052","PXD014479","Proteomics; N-terminomics","publication_checked","No major gap for triage.","None urgent; row has publication, 3 UC/3 controls, 6 RAW files.","No"
"DS053","PXD030775","Proteomics; multi-omics context","publication_checked","Companion metabolite/eicosanoid data are not public in the same way as PRIDE proteomics.","Clarify that primary reusable layer is PRIDE proteomics; multi-omics companion data may require author request.","Review"
"DS054","PXD050335","Proteomics; Multi-omics","publication_checked","Exact unique donor count remains slightly ambiguous despite 29 specimens and 52 compartment samples.","If analysis will use subject-level comparisons, extract donor/sample mapping from supplement; otherwise triage-ready.","Review"
"DS055","ST000899","Metabolomics","publication_checked","raw_data_available=Unclear; raw not confirmed, though processed data and n=60 are supported.","Confirm raw-file availability in Metabolomics Workbench; update raw_data_available Yes/No.","Yes"
"DS056","ST001000; PRJNA400072","Metabolomics; Metagenomics","publication_checked","No major gap for triage.","None urgent; strong multi-omics evidence with 220 samples and paired MW/BioProject sources.","No"
"DS057","ST002471","Metabolomics","publication_checked","Subject count Unclear; sample count is 91.","Extract unique pediatric PROTECT subject count if subject-level analysis is planned.","Review"
"DS058","MSV000082094; PRJEB42151; PRJEB42155","Metagenomics; Metabolomics; Proteomics","publication_checked","Exact per-accession/per-omics file and sample counts unclear.","Repository-level audit of MassIVE and ENA sample counts; map cohort 1 vs validation accessions cleanly.","Yes"
"DS059","MSV000084908","Metabolomics","publication_checked","sample_size_samples is Unclear; 210 initial and 182 core cohort are in notes but not normalized.","Populate sample_size_samples with supported count and clarify whether row represents all 210 profiled or 182 core samples.","Yes"
"DS079","PXD030121","Proteomics","publication_checked","No major gap for triage.","None urgent; n=12, 12 RAW files, DOI/PMID and PRIDE access are verified.","No"
"DS080","PXD061040","Proteomics","publication_checked","No major gap for triage; small recent cohort.","None urgent; n=10 and public PRIDE/PMC evidence are sufficient for triage.","No"
"DS081","MSV000093975","Metaproteomics","publication_checked","source_record_checked=FALSE and data_access_checked=FALSE; MassIVE structured metadata not yet verified directly.","Verify MassIVE record and raw/processed file availability; confirm 62 analyzed participants vs 70 enrolled and 209 stool samples after QC.","Yes"
"DS082","MSV000089099; PXD032706","Metaproteomics","publication_checked","No major gap for triage.","None urgent; source, publication, n=20 specimens, raw/results access are verified.","No"
